Frequency,License,Type,Tone,Alpha Tag,Description,Mode,Tag
39.980,WYZ320,RM,127.3 PL,PlacerCo Roads E,Roads - Tahoe/East County,FM,Public Works
39.680,WPLX450,RM,131.8 PL,PlacerCo AC,Animal Control  - Tahoe,FM,Public Works
155.010,WPLX450,M,,PlacerCo AC Ext,Animal Control - Tahoe Extenders,FMN,Public Works
453.425,WQY273,RM,167.9 PL,TART Buses,Tahoe Area Regional Transit - North Shore,FMN,Transportation
