Frequency,License,Type,Tone,Alpha Tag,Description,Mode,Tag
155.160,KB25082,M,156.7 PL,Placer SAR Simp,Ch 4 - SAR Simplex,FMN,Multi-Tac
155.160,KB25082,RM,CSQ,Placer SAR RPT,Ch 5 thru 12 - SAR Repeaters,FMN,Multi-Talk
154.600,,M,156.7 PL,Placer SAR Trng,Training (MURS 5),FM,Multi-Talk
