Frequency,License,Type,Tone,Alpha Tag,Description,Mode,Tag
464.325,,RM,100.0 PL,KP Rosevle Ops,Operations,FMN,Business
463.250,WPHQ242,RM,CC 7,KP Rosevle Sec,Security,DMR,Security
464.975,WPHQ242,RM,CC 7,KP Rosevle Maint,Maintenance,DMR,Business
