Frequency,License,Type,Tone,Alpha Tag,Description,Mode,Tag
452.225,WQXJ961,RM,CC 2,Sutter RV Secrty,Security (Dept of Protective Services),DMR,Security
464.475,WQXJ961,RM,CC 3,Sutter RV Maint,Plant Operations Maintenance,DMR,Business
464.575,WQXJ961,RM,CC 5,Sutter RV Emerg,Emergency Preparedness,DMR,Emergency Ops
