Frequency,License,Type,Tone,Alpha Tag,Description,Mode,Tag
452.975,WQGW537,RM,026 DPL,RUSD,District Ops,FM,Schools
452.625,WQGW537,RM,025 DPL,RUSD Bus,Transportation Department (School Buses),FMN,Schools
