Frequency,License,Type,Tone,Alpha Tag,Description,Mode,Tag
159.600,WPRZ842,BM,67.0 PL,WPUSD Buses,District Buses/Transportation,FMN,Schools
151.835,WPRZ842,BM,192.8 PL,WPUSD LHS,Lincoln High,FMN,Schools
159.990,WPRZ842,BM,94.8 PL,WPUSD GEMS,Glen Edwards Middle,FMN,Schools
159.705,WPRZ842,BM,173.8 PL,WPUSD TBMS,Twelve Bridges Middle,FMN,Schools
151.955,WPRZ842,BM,141.3 PL,WPUSD COE,Creekside Oaks Elementary,FMN,Schools
154.540,WPRZ842,BM,131.8 PL,WPUSD FRES,Foskett Ranch Elementary,FMN,Schools
159.855,WPRZ842,BM,94.8 PL,WPUSD LCES,Lincoln Crossing Elementary,FMN,Schools
158.340,WPRZ842,BM,91.5 PL,WPUSD FSES,First Street Elementary,FMN,Schools
