DEC,HEX,Mode,Alpha Tag,Description,Tag
10601,2969,D,Auburn PD Disp 1,Police Dispatch 1 (patched with 154.65),Law Dispatch
10602,296a,D,Auburn PD Disp 2,Police Dispatch 2,Law Tac
