DEC,HEX,Mode,Alpha Tag,Description,Tag
10201,27d9,D,Lincoln PD 1,Police Dispatch (patched with 156.09),Law Dispatch
10202,27da,D,Lincoln PD 2,Police Tactical,Law Tac
