Frequency,License,Type,Tone,Alpha Tag,Description,Mode,Tag
156.030,WDB324,RM,107.2 PL,Rocklin PD1,Police Dispatch,FMN,Law Dispatch
154.625,WDB324,,107.2 PL,Rocklin PD3,Police Tactical,FMN,Law Tac
155.625,WDB324,M,,Rocklin PD4,Police Tactical,FMN,Law Tac
155.115,WNWF721,BM,103.5 PL,Rocklin PD6,Police Tac/Public Works,FMN,Multi-Tac
154.145,WPBE306,RM,162.2 PL,Rocklin FD,Fire Dispatch,FMN,Fire Dispatch
