Frequency,License,Type,Tone,Alpha Tag,Description,Mode,Tag
156.090,KWV772,RM,466 DPL,Lincoln PD,Police Dispatch (patched with P25 system),FMN,Law Dispatch
154.385,,B,662 DPL,Lincoln PD Simul,Police Dispatch Simulcast,FMN,Law Dispatch
155.025,WQHC490,RM,107.2 PL,Lincoln PD3,Police Tac 3 (shared as Placer Co Fire Tac 2),FMN,Law Tac
151.010,KDT354,RM,151.4 PL,Lincoln FD1,Fire Dispatch,FMN,Fire Dispatch
