Frequency,License,Type,Tone,Alpha Tag,Description,Mode,Tag
154.650,WPRG521,RM,107.2 PL,Auburn PD1,Police Dispatch (patched with P25 system),FMN,Law Dispatch
153.815,WPNQ932,RM,91.5 PL,Auburn PD2,Police Channel 2/Public Works,FMN,Multi-Tac
